OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
392,ASPIRE FERTILITY-HOUSTON,,HOUSTON,TEXAS,"George M. Grunert, MD",300,150,170,130,48.3%,34.7%,26.5%,5.4%,46.7%,31.3%,26.5%,4.6%,280,135,138,109,51.8%,38.5%,32.6%,6.4%,50.0%,34.8%,32.6%,5.5%,305,108,88,22,47.5%,48.1%,51.1%,31.8%,45.9%,43.5%,51.1%,27.3%,2.1,2.9,3.8,18.6,51.7%,40.0%,24.2%,5.9%,57.7%,43.5%,29.5%,5.9%,57.7%,43.5%,30.5%,5.9%,1.1,1.3,1.3,1.4,1.1,0.7,0.5,0.1,0,*,60,*,,0 / *,66.7%,* / *,,0 / *,63.3%,* / *,498,316,258,263,"1,335",7.9%,6.2%,10.7%,24.4%,11.6%,8.3%,11.4%,15.1%,21.6%,12.8%,2.6%,3.8%,3.9%,4.2%,3.4%,3.7%,4.7%,0.9%,7.6%,4.1%,97.8%,96.7%,97.4%,97.1%,97.3%,92.6%,90.0%,81.0%,77.1%,87.3%,88.5%,86.0%,90.5%,80.0%,86.9%,33%,17%,15%,23%,8%,77%,2%,38%,42%,9%,81%,7%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
393,COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,,HOUSTON,TEXAS,"C. James Chuong, MD",18,9,9,15,7 / 18,* / 9,* / 9,* / 15,6 / 18,0 / 9,* / 9,* / 15,17,8,8,11,7 / 17,* / 8,* / 8,* / 11,6 / 17,0 / 8,* / 8,* / 11,16,*,6,*,7 / 16,* / *,* / 6,* / *,6 / 16,0 / *,* / 6,* / *,2.6,9.0,3.0,15.0,6 / 13,* / *,0 / *,0 / *,6 / 13,* / *,* / *,0 / *,6 / 13,* / *,* / *,0 / *,1.0,1.3,1.5,1.3,0.9,0.5,0.7,0.0,0,*,17,*,,0 / *,8 / 17,0 / *,,0 / *,8 / 17,0 / *,38,27,20,48,133,0 / 16,0 / 12,* / 10,36.4%,15.0%,5.3%,11.1%,* / 19,12.5%,9.7%,0.0%,0.0%,0.0%,0.0%,0.0%,5.0%,* / 13,0 / 9,4.3%,6.2%,100.0%,13 / 13,9 / 9,87.0%,95.4%,100.0%,13 / 13,9 / 9,91.3%,96.9%,50.0%,7 / 13,5 / 9,21.7%,41.5%,18%,8%,23%,17%,23%,29%,2%,40%,43%,0%,1%,3%,4%,Yes,Yes,Yes,Yes,Yes,No,No,0,TX
394,FAMILY FERTILITY CENTER,,HOUSTON,TEXAS,"William E. Gibbons, MD",87,41,44,28,51.7%,41.5%,38.6%,7.1%,50.6%,39.0%,38.6%,7.1%,79,38,41,25,57.0%,44.7%,41.5%,8.0%,55.7%,42.1%,41.5%,8.0%,85,30,29,9,52.9%,56.7%,58.6%,* / 9,51.8%,53.3%,58.6%,* / 9,1.9,2.4,2.6,14.0,55.2%,44.4%,37.0%,* / 11,62.1%,44.4%,44.4%,* / 11,62.1%,44.4%,44.4%,* / 11,1.1,1.1,1.3,1.7,1.0,0.7,0.6,0.3,0,0,18,*,,,7 / 18,0 / *,,,6 / 18,0 / *,259,139,108,68,574,10.4%,11.0%,10.8%,34.5%,12.9%,9.0%,7.7%,9.9%,13.8%,9.4%,11.6%,11.5%,13.0%,1.5%,10.6%,0.0%,0.0%,2.4%,11.1%,2.0%,98.2%,86.7%,85.7%,94.4%,92.8%,95.5%,95.0%,92.9%,86.1%,93.6%,83.8%,66.7%,81.0%,83.3%,79.1%,29%,3%,5%,22%,5%,6%,<1%,19%,48%,4%,11%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
395,HOUSTON FERTILITY INSTITUTE,,HOUSTON,TEXAS,"Ghassan F. Haddad, MD",653,322,264,188,66.2%,47.5%,31.4%,9.6%,60.0%,44.1%,28.4%,9.6%,645,315,253,174,67.0%,48.6%,32.8%,10.3%,60.8%,45.1%,29.6%,10.3%,787,297,179,64,54.9%,51.5%,46.4%,28.1%,49.8%,47.8%,41.9%,28.1%,1.5,2.1,3.2,10.4,69.5%,54.9%,33.6%,11.8%,72.3%,58.3%,34.9%,14.1%,73.3%,60.2%,37.0%,14.1%,1.1,1.2,1.2,1.4,1.2,1.0,0.7,0.3,14,63,169,9,11 / 14,55.6%,49.1%,8 / 9,10 / 14,54.0%,46.7%,8 / 9,"2,010",982,757,651,"4,400",1.9%,3.1%,6.3%,7.5%,3.9%,6.8%,11.2%,17.3%,27.7%,12.6%,1.9%,2.7%,3.3%,1.7%,2.3%,1.6%,2.6%,4.1%,9.9%,3.4%,94.3%,91.0%,92.2%,78.5%,90.9%,96.5%,93.0%,91.4%,74.9%,91.8%,50.8%,57.0%,61.9%,42.7%,52.8%,70%,9%,30%,49%,58%,59%,2%,41%,38%,16%,61%,1%,<1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
396,HOUSTON INFERTILITY CLINIC,"SONJA KRISTIANSEN, MD",HOUSTON,TEXAS,"Sonja B. Kristiansen, MD",*,0,0,0,0 / *,,,,0 / *,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0 / *,,,,0 / *,,,,0 / *,,,,1.0,,,,0.0,,,,0,0,*,*,,,0 / *,* / *,,,0 / *,0 / *,31,19,16,11,77,0 / 19,0 / 12,0 / 9,* / *,2.3%,32.3%,5 / 19,5 / 16,* / 10,27.6%,0.0%,0 / 19,0 / 16,0 / 11,0.0%,0.0%,0 / 14,* / 11,0 / 9,1.8%,61.9%,7 / 14,9 / 11,6 / 9,63.6%,95.2%,14 / 14,11 / 11,8 / 9,96.4%,4.8%,* / 14,5 / 11,* / 9,20.0%,35%,0%,17%,3%,0%,26%,0%,13%,0%,1%,1%,5%,5%,No,No,Yes,Yes,Yes,No,Yes,0,TX
397,HOUSTON IVF DBA,CCRM HOUSTON,HOUSTON,TEXAS,"Timothy N. Hickman, MD",220,124,105,69,66.4%,41.1%,29.5%,11.6%,58.6%,38.7%,28.6%,11.6%,216,120,97,59,67.6%,42.5%,32.0%,13.6%,59.7%,40.0%,30.9%,13.6%,261,125,65,24,55.9%,40.8%,47.7%,33.3%,49.4%,38.4%,46.2%,33.3%,1.5,2.4,3.4,8.6,68.4%,42.2%,33.3%,14.6%,73.4%,44.6%,40.4%,14.6%,73.4%,44.6%,40.4%,14.6%,1.1,1.1,1.3,1.3,1.2,1.0,0.7,0.3,12,*,45,0,7 / 12,* / *,53.3%,,5 / 12,* / *,46.7%,,471,367,296,174,"1,308",0.4%,4.5%,3.7%,4.7%,3.0%,2.6%,4.2%,9.3%,15.4%,6.2%,7.6%,8.2%,8.1%,3.4%,7.3%,1.5%,0.6%,4.5%,7.7%,2.6%,84.0%,93.2%,94.0%,78.2%,87.8%,97.7%,94.9%,94.7%,93.6%,95.8%,66.0%,78.5%,79.7%,60.3%,71.5%,24%,7%,8%,17%,4%,75%,1%,45%,47%,12%,92%,5%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
398,CONCEIVE FERTILITY CENTER,,IRVING,TEXAS,"Derek Haas, MD",9,*,5,5,6 / 9,* / *,* / 5,* / 5,6 / 9,* / *,* / 5,* / 5,9,*,5,5,6 / 9,* / *,* / 5,* / 5,6 / 9,* / *,* / 5,* / 5,10,*,5,*,6 / 10,* / *,* / 5,* / *,6 / 10,* / *,* / 5,* / *,1.5,4.0,2.5,2.5,6 / 8,0 / *,* / *,* / *,6 / 8,* / *,* / *,* / *,6 / 8,* / *,* / *,* / *,1.0,1.3,1.0,1.0,1.0,0.5,1.0,0.5,0,*,33,*,,0 / *,48.5%,0 / *,,0 / *,45.5%,0 / *,65,52,41,74,232,0.0%,8.3%,10.0%,13.9%,8.2%,6.2%,0.0%,12.8%,10.1%,7.2%,0.0%,1.9%,4.9%,2.7%,2.2%,15.6%,32.1%,* / 18,11.1%,16.7%,100.0%,100.0%,18 / 18,94.4%,98.2%,100.0%,96.4%,18 / 18,100.0%,99.1%,53.1%,71.4%,11 / 18,52.8%,58.8%,19%,12%,28%,14%,14%,63%,7%,34%,48%,11%,0%,<1%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
399,IVFMD,,IRVING,TEXAS,"Sy Q. Le, MD",109,50,27,27,55.0%,50.0%,40.7%,3.7%,53.2%,40.0%,40.7%,3.7%,106,47,27,24,56.6%,53.2%,40.7%,4.2%,54.7%,42.6%,40.7%,4.2%,117,56,27,*,51.3%,44.6%,40.7%,* / *,49.6%,35.7%,40.7%,* / *,1.8,2.0,2.5,27.0,60.0%,53.8%,8 / 15,* / 15,63.8%,53.8%,8 / 15,* / 15,63.8%,53.8%,8 / 15,* / 15,1.1,1.0,1.1,1.1,1.1,1.2,1.2,0.1,8,0,18,16,* / 8,,* / 18,* / 16,* / 8,,* / 18,* / 16,273,127,92,58,550,1.7%,3.8%,8.1%,9.1%,4.1%,5.5%,7.2%,12.4%,20.0%,8.5%,1.5%,0.8%,3.3%,0.0%,1.5%,1.2%,1.3%,0.0%,0.0%,0.9%,88.3%,93.3%,96.0%,73.3%,89.3%,79.6%,82.7%,82.0%,63.3%,79.2%,34.6%,44.0%,50.0%,43.3%,40.1%,36%,7%,18%,21%,4%,10%,<1%,31%,36%,2%,12%,<1%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
400,THE CENTRE FOR REPRODUCTIVE MEDICINE,,LUBBOCK,TEXAS,"Janelle O. Dorsett, MD",31,16,*,9,54.8%,6 / 16,* / *,* / 9,32.3%,5 / 16,* / *,0 / 9,31,16,*,9,54.8%,6 / 16,* / *,* / 9,32.3%,5 / 16,* / *,0 / 9,33,15,*,8,51.5%,6 / 15,* / *,* / 8,30.3%,5 / 15,* / *,0 / 8,1.8,2.7,2.0,9.0,56.5%,* / 13,0 / *,* / 8,56.5%,5 / 13,0 / *,* / 8,56.5%,5 / 13,0 / *,* / 8,1.0,1.2,1.0,1.0,1.0,0.9,1.0,0.9,*,*,*,*,* / *,0 / *,0 / *,* / *,* / *,0 / *,0 / *,* / *,64,20,9,12,105,7.7%,0 / 16,* / 6,* / 8,13.0%,8.2%,10.0%,* / 6,* / 9,10.4%,0.0%,0.0%,0 / 9,0 / 12,0.0%,0.0%,0 / 14,0 / 5,0 / 5,0.0%,46.8%,* / 14,* / 5,* / 5,45.1%,12.8%,* / 14,0 / 5,* / 5,15.5%,4.3%,0 / 14,0 / 5,0 / 5,2.8%,44%,28%,22%,36%,6%,2%,0%,25%,14%,14%,29%,4%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
401,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,CENTER FOR FERTILITY AND REPRODUCTIVE SURGERY,LUBBOCK,TEXAS,"Jaou-Chen Huang, MD",52,23,17,7,48.1%,21.7%,* / 17,0 / 7,34.6%,21.7%,* / 17,0 / 7,50,21,15,6,50.0%,23.8%,* / 15,0 / 6,36.0%,23.8%,* / 15,0 / 6,62,27,14,*,40.3%,18.5%,* / 14,0 / *,29.0%,18.5%,* / 14,0 / *,2.1,4.6,8.5,,50.0%,* / 15,* / 10,0 / *,50.0%,* / 15,* / 10,0 / *,50.0%,* / 15,* / 10,0 / *,1.0,1.2,1.4,1.7,1.2,1.1,0.8,0.6,0,6,9,0,,* / 6,* / 9,,,* / 6,* / 9,,85,49,22,14,170,2.4%,8.0%,* / 11,0 / *,8.8%,17.9%,10.6%,* / 18,* / 14,13.5%,0.0%,2.0%,0.0%,0 / 14,0.6%,1.8%,0.0%,* / 14,0 / 10,1.7%,64.3%,54.1%,10 / 14,6 / 10,61.5%,85.7%,91.9%,11 / 14,10 / 10,88.0%,30.4%,13.5%,* / 14,* / 10,22.2%,32%,14%,8%,26%,7%,2%,0%,19%,14%,4%,4%,1%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
402,REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,,MCALLEN,TEXAS,"Esteban O. Brown, MD",30,15,24,12,30.0%,9 / 15,25.0%,* / 12,23.3%,8 / 15,20.8%,* / 12,29,15,22,11,31.0%,9 / 15,27.3%,* / 11,24.1%,8 / 15,22.7%,* / 11,35,17,24,10,25.7%,9 / 17,25.0%,* / 10,20.0%,8 / 17,20.8%,* / 10,3.3,1.7,4.0,6.0,33.3%,6 / 11,* / 12,* / 9,33.3%,6 / 11,* / 12,* / 9,33.3%,6 / 11,5 / 12,* / 9,1.0,1.1,1.2,1.1,1.2,1.1,1.1,0.9,0,0,5,0,,,* / 5,,,,* / 5,,46,29,21,21,117,0.0%,0 / 19,* / 11,* / 12,2.8%,4.3%,0.0%,5.0%,5.0%,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0 / 17,0 / 16,0.0%,50.0%,43.5%,10 / 17,8 / 16,50.0%,100.0%,100.0%,16 / 17,16 / 16,98.9%,2.9%,4.3%,0 / 17,* / 16,3.3%,32%,6%,28%,28%,25%,6%,0%,17%,19%,2%,3%,3%,3%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,TX
403,ADVANCED FERTILITY CENTERS,,ODESSA,TEXAS,"Rizwan Malik, MD",20,5,5,*,30.0%,* / 5,0 / 5,0 / *,25.0%,* / 5,0 / 5,0 / *,18,5,*,*,6 / 18,* / 5,0 / *,0 / *,5 / 18,* / 5,0 / *,0 / *,18,5,*,*,6 / 18,* / 5,0 / *,0 / *,5 / 18,* / 5,0 / *,0 / *,3.3,1.3,,,5 / 18,* / *,0 / *,0 / *,6 / 18,* / *,0 / *,0 / *,6 / 18,* / *,0 / *,0 / *,1.1,1.3,1.3,1.0,0.9,1.0,0.6,0.8,*,*,0,0,0 / *,0 / *,,,0 / *,0 / *,,,32,14,11,9,66,8.3%,0 / 10,* / 9,* / 5,14.6%,26.7%,* / 14,* / 7,* / 8,22.0%,0.0%,* / 14,0 / 11,0 / 9,3.0%,0 / 15,0 / 7,0 / *,* / 6,3.1%,6 / 15,* / 7,* / *,* / 6,43.8%,15 / 15,7 / 7,* / *,5 / 6,96.9%,0 / 15,0 / 7,* / *,0 / 6,3.1%,9%,11%,21%,27%,2%,3%,2%,26%,23%,6%,9%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
404,IVF PLANO,,PLANO,TEXAS,"James Douglas, MD",71,34,15,26,66.2%,58.8%,* / 15,7.7%,53.5%,50.0%,* / 15,7.7%,67,30,12,24,70.1%,66.7%,* / 12,8.3%,56.7%,56.7%,* / 12,8.3%,72,32,7,7,65.3%,62.5%,* / 7,* / 7,52.8%,53.1%,* / 7,* / 7,1.5,1.7,3.8,13.0,70.8%,58.3%,* / 6,0 / 5,79.2%,58.3%,* / 6,0 / 5,79.2%,58.3%,* / 6,0 / 5,1.1,1.1,1.2,1.0,1.1,0.9,0.4,0.2,*,*,11,*,* / *,* / *,5 / 11,* / *,0 / *,* / *,5 / 11,* / *,143,90,49,47,329,1.8%,5.4%,0.0%,8.7%,3.6%,16.2%,11.4%,10.2%,28.9%,15.7%,0.7%,3.3%,2.0%,2.1%,1.8%,0.0%,0.0%,0.0%,4.3%,0.5%,100.0%,100.0%,96.2%,78.3%,96.8%,45.2%,50.0%,42.3%,56.5%,47.6%,64.3%,61.5%,46.2%,43.5%,58.4%,36%,2%,10%,68%,2%,0%,0%,17%,27%,2%,19%,1%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
405,TEXAS IVF,,PLANO,TEXAS,"Alfred J. Rodriguez, MD",29,25,20,14,41.4%,28.0%,20.0%,0 / 14,37.9%,28.0%,20.0%,0 / 14,29,24,17,11,41.4%,29.2%,* / 17,0 / 11,37.9%,29.2%,* / 17,0 / 11,25,18,7,*,48.0%,7 / 18,* / 7,0 / *,44.0%,7 / 18,* / 7,0 / *,2.4,3.6,5.0,,6 / 14,5 / 12,* / 5,0 / *,7 / 14,5 / 12,* / 5,0 / *,8 / 14,5 / 12,* / 5,0 / *,1.4,1.3,1.0,2.3,1.0,0.7,0.2,0.0,0,0,12,*,,,7 / 12,* / *,,,7 / 12,* / *,69,57,54,49,229,0.0%,3.6%,14.8%,6.7%,6.1%,13.0%,14.3%,8.0%,14.9%,12.6%,7.2%,0.0%,11.1%,0.0%,4.8%,2.6%,0.0%,0.0%,5 / 19,5.5%,100.0%,100.0%,100.0%,19 / 19,100.0%,60.5%,81.5%,60.0%,10 / 19,64.2%,73.7%,96.3%,88.0%,18 / 19,86.2%,43%,6%,10%,36%,13%,4%,0%,21%,37%,12%,40%,3%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
406,ASPIRE FERTILITY INSTITUTE - SAN ANTONIO,,SAN ANTONIO,TEXAS,"Ursula Balthazar, MD",266,141,87,36,56.8%,37.6%,20.7%,5.6%,48.5%,33.3%,20.7%,5.6%,239,121,75,27,63.2%,43.8%,24.0%,7.4%,54.0%,38.8%,24.0%,7.4%,258,97,47,7,58.5%,54.6%,38.3%,* / 7,50.0%,48.5%,38.3%,* / 7,1.8,2.7,4.8,18.0,57.7%,39.2%,20.8%,* / 15,67.0%,48.5%,25.0%,* / 15,68.0%,49.5%,25.0%,* / 15,1.2,1.2,1.3,1.6,1.0,0.7,0.5,0.0,0,6,49,18,,* / 6,51.0%,11 / 18,,* / 6,51.0%,10 / 18,551,297,172,132,"1,152",9.9%,12.0%,12.1%,20.0%,11.9%,7.1%,10.4%,15.5%,19.5%,10.6%,2.9%,5.7%,2.3%,2.3%,3.5%,1.2%,0.0%,3.4%,5.0%,1.5%,64.1%,77.3%,83.9%,78.3%,71.4%,79.1%,79.1%,75.9%,53.3%,76.3%,37.1%,59.5%,66.7%,58.3%,48.6%,22%,4%,8%,14%,1%,2%,1%,22%,31%,2%,21%,<1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
407,FERTILITY CENTER OF SAN ANTONIO,,SAN ANTONIO,TEXAS,"Gregory S. Neal, MD",130,82,63,52,55.4%,40.2%,19.0%,7.7%,48.5%,29.3%,17.5%,7.7%,122,77,55,42,59.0%,42.9%,21.8%,9.5%,51.6%,31.2%,20.0%,9.5%,142,79,39,21,50.7%,41.8%,30.8%,19.0%,44.4%,30.4%,28.2%,19.0%,1.8,2.5,5.3,13.0,58.9%,40.0%,25.0%,* / 17,63.2%,41.7%,25.0%,* / 17,65.3%,41.7%,27.8%,* / 17,1.1,1.1,1.2,1.2,1.1,1.0,0.6,0.5,*,8,14,0,* / *,* / 8,* / 14,,0 / *,* / 8,* / 14,,239,132,113,78,562,1.8%,7.8%,1.9%,18.6%,6.0%,13.9%,11.1%,12.5%,14.3%,13.0%,2.5%,3.0%,1.8%,0.0%,2.1%,0.0%,0.0%,2.6%,4.1%,1.0%,69.0%,56.7%,73.1%,61.2%,66.0%,68.5%,76.7%,67.9%,63.3%,69.6%,19.0%,21.1%,23.1%,12.2%,19.5%,26%,9%,19%,20%,10%,4%,0%,23%,17%,4%,6%,1%,12%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
408,UT HEALTH SAN ANTONIO REPRODUCTIVE HEALTH AND FERTILITY CENTER,,SAN ANTONIO,TEXAS,"Randal D. Robinson, MD",33,16,7,20,54.5%,* / 16,* / 7,5.0%,51.5%,* / 16,* / 7,5.0%,32,13,7,18,56.3%,* / 13,* / 7,* / 18,53.1%,* / 13,* / 7,* / 18,41,16,7,7,43.9%,* / 16,* / 7,* / 7,41.5%,* / 16,* / 7,* / 7,1.8,5.3,3.5,20.0,51.9%,* / 13,* / 5,0 / 8,59.3%,* / 13,* / 5,0 / 8,59.3%,* / 13,* / 5,* / 8,1.1,1.1,1.2,2.1,1.3,0.9,1.0,0.4,0,*,9,*,,* / *,* / 9,0 / *,,* / *,* / 9,0 / *,81,46,39,53,219,0.0%,0.0%,0.0%,20.7%,5.1%,9.9%,13.0%,2.6%,14.9%,10.3%,2.5%,4.3%,5.1%,0.0%,2.7%,0.0%,0.0%,13.0%,4.0%,2.9%,67.8%,66.7%,65.2%,80.0%,69.3%,47.5%,56.7%,56.5%,44.0%,50.4%,13.6%,16.7%,43.5%,40.0%,24.1%,32%,8%,14%,16%,7%,<1%,1%,37%,26%,5%,3%,<1%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
409,THE HEARD INSTITUTE,,SUGARLAND,TEXAS,"Michael J. Heard, MD",0,*,*,0,,0 / *,0 / *,,,0 / *,0 / *,,0,0,*,0,,,0 / *,,,,0 / *,,0,0,*,0,,,0 / *,,,,0 / *,,,,,,,0 / *,0 / *,,,0 / *,0 / *,,,0 / *,0 / *,,,1.0,1.0,,,0.0,1.0,,0,0,*,0,,,* / *,,,,* / *,,*,*,*,0,5,,,,,,0 / *,0 / *,* / *,,* / 5,0 / *,0 / *,0 / *,,0 / 5,0 / *,0 / *,* / *,,* / *,* / *,* / *,* / *,,* / *,* / *,* / *,* / *,,* / *,0 / *,0 / *,* / *,,* / *,0 / 5,0 / 5,0 / 5,* / 5,* / 5,0 / 5,* / 5,* / 5,0 / 5,0 / 5,* / 5,0 / 5,* / 5,Yes,Yes,Yes,Yes,Yes,No,No,0,TX
410,SCOTT & WHITE CLINIC-TEMPLE,,TEMPLE,TEXAS,"Gordon W Bates, MD",125,60,19,22,26.4%,10.0%,* / 19,0.0%,20.8%,5.0%,* / 19,0.0%,92,43,12,19,35.9%,14.0%,* / 12,0 / 19,28.3%,7.0%,* / 12,0 / 19,94,39,9,14,35.1%,15.4%,* / 9,0 / 14,27.7%,7.7%,* / 9,0 / 14,3.8,10.0,4.8,,24.7%,9.3%,* / 14,0 / 12,30.1%,11.6%,* / 14,0 / 12,32.3%,11.6%,* / 14,0 / 12,1.2,1.2,1.2,1.5,0.8,0.6,0.4,0.7,*,0,0,0,0 / *,,,,0 / *,,,,122,56,32,23,233,10.0%,11.4%,18.2%,* / 17,13.0%,4.4%,15.4%,10.7%,* / 19,8.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0 / 13,0.0%,38.6%,43.6%,45.5%,6 / 13,41.1%,96.0%,97.4%,100.0%,11 / 13,96.0%,1.0%,12.8%,4.5%,* / 13,4.6%,28%,8%,20%,15%,3%,3%,0%,0%,8%,3%,20%,0%,24%,No,No,Yes,No,No,No,No,0,TX
411,HART FERTILITY CLINIC,,THE WOODLANDS,TEXAS,"Dorothy J. Roach, MD",12,*,13,*,9 / 12,* / *,* / 13,* / *,7 / 12,* / *,* / 13,* / *,12,*,13,*,9 / 12,* / *,* / 13,* / *,7 / 12,* / *,* / 13,* / *,12,*,13,*,9 / 12,* / *,* / 13,* / *,7 / 12,* / *,* / 13,* / *,1.3,1.5,13.0,2.0,9 / 9,* / *,0 / 7,0 / *,9 / 9,* / *,0 / 7,* / *,9 / 9,* / *,0 / 7,* / *,1.0,1.0,1.0,2.0,1.0,1.0,1.1,1.0,0,0,*,0,,,0 / *,,,,0 / *,,42,24,20,21,107,0.0%,* / 18,0 / 8,* / 13,6.8%,9.5%,0.0%,0.0%,5 / 19,8.7%,4.8%,12.5%,30.0%,0.0%,10.3%,8.3%,0 / 11,0 / 12,0 / 7,3.7%,91.7%,6 / 11,12 / 12,6 / 7,85.2%,91.7%,10 / 11,5 / 12,6 / 7,79.6%,41.7%,5 / 11,* / 12,5 / 7,44.4%,21%,6%,16%,38%,3%,5%,0%,16%,38%,9%,7%,0%,14%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
412,CENTER OF REPRODUCTIVE MEDICINE (CORM),,WEBSTER,TEXAS,"Vicki L. Schnell, MD",174,92,58,34,64.9%,45.7%,36.2%,5.9%,64.4%,45.7%,36.2%,5.9%,171,86,52,29,66.1%,48.8%,40.4%,6.9%,65.5%,48.8%,40.4%,6.9%,194,75,44,5,58.2%,56.0%,47.7%,* / 5,57.7%,56.0%,47.7%,* / 5,1.5,2.2,2.8,17.0,66.9%,50.7%,41.5%,* / 19,70.3%,59.7%,46.3%,* / 19,70.9%,59.7%,46.3%,* / 19,1.1,1.1,1.2,1.3,1.1,0.9,0.7,0.1,*,0,31,*,* / *,,45.2%,0 / *,* / *,,41.9%,0 / *,513,260,192,140,"1,105",6.6%,8.9%,15.0%,14.1%,9.8%,13.3%,17.3%,13.6%,25.0%,15.7%,3.1%,3.1%,1.6%,3.6%,2.9%,1.5%,3.2%,3.3%,8.5%,2.8%,85.4%,88.0%,90.0%,85.1%,86.8%,96.7%,93.6%,88.9%,63.8%,91.8%,51.8%,61.6%,73.3%,57.4%,58.2%,20%,10%,7%,22%,9%,2%,<1%,26%,36%,7%,3%,1%,7%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
